ID,URL,Cleaned_Content,Crawled_At
scrp_e1be1c5fedbdfff3009b82b257b170f2,https://esx.et/equity-market/listed-companies/,"Name Symbol Sector Date Listed Date Incorporated Abay Bank Share Company ABAYB Financial Services 2026-06-25 2010-07-14 Ethio Telecom Share Company TELE Telecom Servicess 2026-05-26 2024-07-01 Awash Bank Share Company AWAB Financial Services 2026-04-23 1994-11-10 Gadaa Bank Share Company GDAB Financial Services 2025-06-13 2022-04-26 Wegagen Bank Share Company WGBX Financial Services 2025-01-10 1997-06-11 The Ethiopian Securities Exchange makes no representation as to the accuracy, completeness,",2026-07-16
scrp_21dcda3431fdba24c59c2b5040da7b2c,https://esx.et/equity-market/listed-companies/,"or reliability of the information contained in disclosure documents published on this page or any of its social media and communication platforms. Such documents and information are the sole responsibility of the respective issuer. Publication by ESX does not constitute an endorsement, recommendation, or assurance regarding the accuracy of the information or the merits of any securities. Investors and relevant stakeholders should rely on their own assessment and seek independent professional advice.",2026-07-16
scrp_da7e966ca973099854b565dcf171b9e0,https://esx.et/equity-market/listing/,"Why List ? As an issuer, listing on ESX provides you with access to a large pool of long-term capital that is critical to finance your growth ambitions. Listing provides access to a new source of finance that compliments your other sources of capital, such as bank lending, as it requires no guarantees or collateral to raise capital from the public, as issuing share securities bears no interest payment. Indeed, listing is more than just raising capital – it is a strategic decision that boosts the",2026-07-16
scrp_6ba4dd3f3611d6a4e4faae5ac0915f16,https://esx.et/equity-market/listing/,"company’s national and global profile, improves the company’s overall governance, and its standing as a sustainable business enterprise. Listing is a primary avenue for a company seeking to raise equity capital to expand the enterprise without the need to incur into debt. Once listed a company can issue significantly more equity stake in its enterprise to raise additional working or growth capital through secondary public offerings. Listing provides a significantly broader shareholder base than",2026-07-16
scrp_b3d12aa960b03dd5eaeb23b2aa006e73,https://esx.et/equity-market/listing/,it would be otherwise. Listing provides a market-based and objective valuation of your business enterprise. Listing enhances the corporate governance of enterprises. Continuous financial disclosure requirements enhance the transparency and public trust of disclosures. A listed company is highly regarded by the public and its peers for its credibility and excellence with a high level of global recognition. Listed companies are often covered by global media networks and data broadcasting and analysis,2026-07-16
scrp_ba396e1d74b12271d429eaf715d1bccd,https://esx.et/equity-market/listing/,"tools. This enhances the strength of the credibility of the company with partners, customers, and employees. Increase your brand value by ringing the ESX opening bell at the ESX Marketplace, ESX website and communication by members of the exchange via various channels. Listing increases the credibility of a business enterprise against potential partners and creditors which enables the enterprise to acquire investment and loans at preferable terms than otherwise. Listing also increases the marketability",2026-07-16
scrp_7de7cbfba684ba30fea9d559c171b69e,https://esx.et/equity-market/listing/,"of products and services offered by the enterprise. Listing provides avenues for companies to provide Stock Option Schemes that can be provided to employees, thereby promoting higher performance, and helping attract and retain talented employees. Various senior executives of a company can be paid through a mix of salary and share options. Listing transforms liquidity, guaranteeing shareholders the opportunity to realize the value of their investments. Securities that are offered to the public can",2026-07-16
scrp_097b06f9c77ea97de0210d8428cab3e4,https://esx.et/equity-market/listing/,"be transferred in an efficient and transparent manner with market prices determined according to supply and demand. Investors (e.g., shareholders) are therefore provided with the opportunity to increase or decrease their investment in a company (or other forms of equity investment) at any time-sharing risks as well as benefiting from any increase in the organizational value. Liquidity is also guaranteed by the fact that listed securities can be used as collateral to borrow funds from various or",2026-07-16
scrp_ef29763362c57c9c83bd870e4b14f7ed,https://esx.et/equity-market/listing/,"directly exchanges with other securities or forms of property. Going public supports private companies and family-owned enterprises to become sustainable. Listing brings about full or partial decoupling of ownership and management, installs good corporate governance and financial responsibility in the enterprise, and allows successors to benefit from the dividends of a business enterprise that outlives their founders. Listing institutionalizes the structure of a business enterprise in the shortest",2026-07-16
scrp_634ade445b7804b6e2fa9cc802c6173b,https://esx.et/equity-market/listing/,"possible time without the founding shareholder or family members losing sight of the operation of the company. Listing provides a strategic avenue for owners, especially institutional investors, an exit strategy to sell the whole or part of the company. Listing makes it easier to sell publicly traded stocks at their true value than private holdings. As an issuer, you can maintain control of your company by offering as little as 15% or more of its shares when you list. Based on the advice of your",2026-07-16
